Country Name,2015,2016,2017,2018,2019,
Aruba,1.52764415740967,1.49679362773895,1.48048067092896,1.49758378186287,1.5335516651578,
Afghanistan,17.1944361688719,17.3020484780418,17.3601853467702,17.0523677140978,17.1344642539802,
Angola,77.7847595214844,91.6264572143555,107.269989013672,125.265871114896,144.052274320717,
Albania,52.6296134595294,53.1638152914459,52.6478510714713,49.7769430921605,49.5594793847274,
Andorra,,,,,,
Arab World,,,,,,
United Arab Emirates,2.83104109764099,2.85650634765625,2.83484387397766,2.85216826540857,2.74730366786409,
Argentina,7.95026302337646,10.8105688095093,10.8079395294189,,,
Armenia,185.826934814453,173.75080871582,167.312210083008,167.439031178434,166.832567595181,
American Samoa,,,,,,
Antigua and Barbuda,2.36998391151428,2.36066269874573,2.46811723709106,2.43835251878676,2.4292312499594,
Australia,1.54546,1.533296,1.558359,1.503232,1.508399,
Austria,0.850461,0.832053,0.834946,0.79006,0.80002,
Azerbaijan,0.3592529296875,0.416659891605377,0.486966043710709,0.486138752840791,0.48995081611397,
Burundi,576.041748046875,585.407897949219,654.421569824219,620.837114817309,605.598658383894,
Belgium,0.865343,0.854022,0.854563,0.803603,0.809482,
Benin,221.996673583984,215.950271606445,219.476272583008,216.061713584973,210.272693353192,
Burkina Faso,217.019424438477,204.853576660156,199.74137878418,198.792533143882,188.940792491026,
Bangladesh,27.8622074127197,28.4720573425293,29.5140819549561,30.4075023434546,31.5363832647238,
Bulgaria,0.758367766984236,0.7358720666162,0.749393930324434,0.707619886967713,0.73035265453578,
Bahrain,0.201736390590668,0.207624524831772,0.204112082719803,0.203404933247941,0.201793891608197,
"Bahamas, The",1.12048697471619,1.09965348243713,1.10285294055939,1.10096823139953,1.10831101642726,
Bosnia and Herzegovina,0.820607175712971,0.789523088569266,0.797348258110858,0.748251356947009,0.750684375240669,
Belarus,0.523944616317749,0.580304324626923,0.616520941257477,0.631143498989804,0.65461293477609,
Belize,1.35100471973419,1.40484631061554,1.4770028591156,,,
Bermuda,1.65733289718628,1.60079455375671,1.57566356658936,,,
Bolivia,2.73290395736694,2.66491603851318,2.6119339466095,2.60758618509137,2.60828628090153,
Brazil,2.08295822143555,2.24902319908142,2.32737708091736,2.35514557406133,2.39957721799485,
Barbados,2.35353326797485,2.30098748207092,2.37052273750305,2.39901343472591,2.45292773070195,
Brunei Darussalam,0.760001063346863,0.726696968078613,0.696616053581238,0.686976749588878,0.672113839062984,
Bhutan,19.8067817687988,19.7291526794434,20.4737873077393,20.5300229633923,20.7142489431146,
Botswana,4.81489706039429,4.87647247314453,5.00866317749023,5.04755376679064,5.09518022039941,
Central African Republic,298.004364013672,295.587982177734,306.808258056641,,,
Canada,1.340276,1.300739,1.294592,1.248924,1.263162,
Central Europe and the Baltics,,,,,,
Switzerland,1.41316,1.381825,1.369706,1.287944,1.286799,
Channel Islands,,,,,,
Chile,447.266632,452.922569,461.870877,466.668248,443.72347,
China,4.02716684341431,4.103111743927,4.14664220809937,4.13175472955659,4.17586853155506,
Cote d'Ivoire,246.230850219727,246.014038085938,247.134429931641,242.108940843064,235.167398207991,
Cameroon,243.046920776367,239.121658325195,236.911529541016,233.74719876943,235.217912357937,
"Congo, Dem. Rep.",503.930908203125,488.539916992188,630.605529785156,,,
"Congo, Rep.",294.581604003906,294.852508544922,285.969329833984,282.368830228216,283.461180836971,
Colombia,1305.77722167969,1398.663269,1462.42637,1440.94826,1429.492402,
Comoros,222.904800415039,218.713516235352,213.51823425293,,,
Cabo Verde,49.8604202270508,48.9576988220215,47.6121101379395,47.0606938958412,46.7349598096494,
Costa Rica,378.803009033203,360.159095,359.043335,361.893995,342.789033,
Caribbean small states,,,,,,
Cuba,,,,,,
Curacao,1.47984445095062,1.46627640724182,1.48293137550354,1.4849739630849,1.4967881215377,
Cayman Islands,1.14751029014587,1.1331182718277,1.14961755275726,,,
Cyprus,0.719273229070837,0.678098410295231,0.672279420567461,0.632099490795143,0.638876014310619,
Czech Republic,14.18868,13.909124,13.883266,13.300632,13.552162,
Germany,0.832913,0.806987,0.796759,0.744273,0.754602,
Djibouti,103.542343139648,105.117561340332,104.736534118652,102.390539444221,103.906143637053,
Dominica,1.90582489967346,1.8848112821579,1.8762481212616,1.84962907032422,1.84404112562231,
Denmark,8.290604,8.198279,7.960907,7.421619,7.38817,
Dominican Republic,23.0342693328857,23.3646450042725,24.3905773162842,24.6576790602547,24.6572900327603,
Algeria,35.6459884643555,36.9081993103027,38.2097434997559,38.891342371703,38.9446523157215,
East Asia & Pacific (excluding high income),,,,,,
Early-demographic dividend,,,,,,
East Asia & Pacific,,,,,,
Europe & Central Asia (excluding high income),,,,,,
Europe & Central Asia,,,,,,
Ecuador,0.580266058444977,0.577947378158569,0.574503362178802,0.559548444648541,0.551050716929418,
"Egypt, Arab Rep.",2.34030675888062,2.64348554611206,3.40778803825378,3.80560440882596,,
Euro area,,,,,,
Eritrea,9.58795851050118,8.9404468879175,7.58917328565831,,,
Spain,0.738177,0.71839,0.708479,0.676971,0.676907,
Estonia,0.603207,0.593663,0.604688,0.585525,0.599808,
Ethiopia,7.87940168380737,8.02281379699707,8.49641704559326,9.44093361356898,10.7417449178418,
European Union,,,,,,
Fragile and conflict affected situations,,,,,,
Finland,0.97934,0.950046,0.935595,0.880646,0.883155,
Fiji,0.972310841083527,0.97508716583252,0.985945224761963,1.00171853653956,1.00133375499336,
France,0.871939,0.847147,0.845271,0.79857,0.797502,
Faroe Islands,,,,,,
