"Data Source","World Development Indicators",

"Last Updated Date","2021-02-17",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.33250929068028","1.34939134730788","1.36045268088827","1.39036898324002","1.44055465679405","1.4483451718239","1.45248322514696","1.4618826836397","1.46644903102013","1.46777422463721","1.47724681074554","1.47807192158481","1.50323191979016","1.5236082133036","1.5214104780524","1.52148463999115","1.52711625996027","1.56482763307525","1.64193775601414","1.61260891639224","1.61955971599788","1.63776314258575","1.54336678981781","1.51320052146912","1.50940573215485","1.52764415740967","1.49679362773895","1.48048067092896","1.49758378186287","1.5335516651578","",
"Afghanistan","AFG","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.3593671618153","12.3804110013373","12.8072182378051","13.5329083306492","16.4756068610165","15.4082100528706","15.4898435276216","16.7883129958098","17.0900128743571","17.6560846459086","17.7527373803577","17.1944361688719","17.3020484780418","17.3601853467702","17.0523677140978","17.1344642539802","",
"Angola","AGO","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.72575815021715E-08","4.80597035268149E-08","1.86358756632428E-07","2.67636844975363E-06","2.7382337630493E-05","0.000736847185702522","0.0303891751807534","0.0947795215944974","0.193460515043191","0.659198151334086","2.71005677166778","6.6564251275205","13.6880053329838","26.5306601721104","37.0896897625751","44.1066498676292","48.413344891512","52.8374258959271","57.2321338484333","65.322520105646","73.5679185537289","80.9318008422852","78.6273651123047","79.5401992797852","77.4686431884766","77.7847595214844","91.6264572143555","107.269989013672","125.265871114896","144.052274320717","",
"Albania","ALB","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.85061680461391","15.34839843519","27.5811649669917","32.9458262000203","34.5442551010391","37.8312649898358","49.2328706501111","57.4425858148715","57.9440690722434","56.984966522087","57.0342374388617","57.560440664345","58.2282603121421","57.211902217246","57.1693640534134","57.6741883899789","58.3494125027552","58.2823163388197","58.4625041779778","57.2662803420189","55.9342568827815","54.0745425616547","54.4805794831637","54.4063434976049","52.6296134595294","53.1638152914459","52.6478510714713","49.7769430921605","49.5594793847274","",
"Andorra","AND","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.24116408196908","2.4227059876281","2.46932371720142","2.45080962424425","2.396653175354","2.39020156860352","2.4637405872345","2.72444534301758","2.83104109764099","2.85650634765625","2.83484387397766","2.85216826540857","2.74730366786409","",
"Argentina","ARG","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.1611635684967","3.66416144371033","4.56208276748657","6.35988330841064","7.95026302337646","10.8105688095093","10.8079395294189","","","",
"Armenia","ARM","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.1069177783439","37.4745342626538","100.589515950622","115.981184799787","129.153828385528","138.209282681406","136.126728651715","130.638643903581","131.044859111766","130.36634770984","133.49128542796","139.060971347091","135.357145547728","134.919722098123","136.959125876679","143.700112317771","149.125851471335","158.715910129592","165.629043579102","158.207962036133","179.036331176758","184.060440063477","185.826934814453","173.75080871582","167.312210083008","167.439031178434","166.832567595181","",
"American Samoa","ASM","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.92116932502225","","","","","","","","","",
"Antigua and Barbuda","ATG","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.33690090973662","2.3125060357778","2.25423131605152","2.22302704870021","2.24100686001593","2.23494660587484","2.2208600749832","2.19306526683315","2.162511165548","2.13230576133045","2.16299911694243","2.15877460359873","2.19551840056141","2.20190143585205","2.15846729278564","2.24112868309021","2.28767728805542","2.36998391151428","2.36066269874573","2.46811723709106","2.43835251878676","2.4292312499594","",
"Australia","AUS","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.386268","1.391248","1.380814","1.375599","1.369019","1.377999","1.374829","1.370819","1.378757","1.37299","1.38417","1.403851","1.42345","1.458189","1.444045","1.46414","1.498006","1.506419","1.530675","1.546178","1.55378","1.526641","1.546202","1.518153","1.530216","1.54546","1.533296","1.558359","1.503232","1.508399","",
"Austria","AUT","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.940839","0.939203","0.945678","0.950811","0.95255","0.953656","0.947279","0.945664","0.932637","0.927895","0.908844","0.925944","0.911887","0.900023","0.893994","0.887601","0.878203","0.878996","0.872035","0.862725","0.856177","0.850842","0.855789","0.845407","0.845595","0.850461","0.832053","0.834946","0.79006","0.80002","",
"Azerbaijan","AZE","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000184831298072235","0.0022046545457458","0.0378635052363913","0.18848241595543","0.219362184940118","0.222227329292842","0.217139571237782","0.194375074154218","0.19141958400443","0.189038663841892","0.191244045555091","0.191176295739001","0.198682967116353","0.210763816717207","0.221182938617446","0.250960856102544","0.292071004954548","0.297383958301723","0.309341423937941","0.32344001531601","0.301538705825806","0.325349390506744","0.323235899209976","0.3592529296875","0.416659891605377","0.486966043710709","0.486138752840791","0.48995081611397","",
"Burundi","BDI","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.7141153900538","85.4472250979041","84.4474517977754","89.9659277616827","100.702638090259","116.823843577374","143.50197213712","183.849877034032","203.670334817146","206.056859639626","248.025262366219","263.631479595934","255.971330803591","276.939009026404","291.771322602152","319.594045383328","318.106312411724","335.300587768604","401.71499642714","445.702442281499","466.984340985998","496.116638183594","529.047302246094","560.344665527344","564.293395996094","576.041748046875","585.407897949219","654.421569824219","620.837114817309","605.598658383894","",
"Belgium","BEL","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.975761","0.970758","0.962897","0.96343","0.965064","0.959767","0.955571","0.956674","0.97293","0.963518","0.925075","0.925453","0.910932","0.927248","0.921909","0.92366","0.922469","0.926567","0.916938","0.902307","0.893642","0.880715","0.88312","0.87123","0.859895","0.865343","0.854022","0.854563","0.803603","0.809482","",
